naive 1024_densa_D0_a -> 963.167 ms | 3952 KB
naive 1024_densa_D0_b -> 960.085 ms | 3956 KB
naive 1024_densa_D0_c -> 962.229 ms | 3956 KB
naive 1024_densa_D10_a -> 964.384 ms | 3956 KB
naive 1024_densa_D10_b -> 958.987 ms | 3956 KB
naive 1024_densa_D10_c -> 957.185 ms | 3956 KB
naive 1024_diagonal_D0_a -> 955.41 ms | 3956 KB
naive 1024_diagonal_D0_b -> 955.433 ms | 3956 KB
naive 1024_diagonal_D0_c -> 959.507 ms | 3956 KB
naive 1024_diagonal_D10_a -> 958.523 ms | 3956 KB
naive 1024_diagonal_D10_b -> 954.217 ms | 3956 KB
naive 1024_diagonal_D10_c -> 956.096 ms | 3956 KB
naive 1024_dispersa_D0_a -> 955.781 ms | 3956 KB
naive 1024_dispersa_D0_b -> 952.49 ms | 3956 KB
naive 1024_dispersa_D0_c -> 958.311 ms | 3956 KB
naive 1024_dispersa_D10_a -> 953.134 ms | 3956 KB
naive 1024_dispersa_D10_b -> 957.084 ms | 3956 KB
naive 1024_dispersa_D10_c -> 879.347 ms | 3956 KB
naive 16_densa_D0_a -> 0.003151 ms | 3 KB
naive 16_densa_D0_b -> 0.003023 ms | 3 KB
naive 16_densa_D0_c -> 0.002472 ms | 3 KB
naive 16_densa_D10_a -> 0.002462 ms | 3 KB
naive 16_densa_D10_b -> 0.002508 ms | 3 KB
naive 16_densa_D10_c -> 0.003335 ms | 3 KB
naive 16_diagonal_D0_a -> 0.002435 ms | 3 KB
naive 16_diagonal_D0_b -> 0.002508 ms | 3 KB
naive 16_diagonal_D0_c -> 0.002444 ms | 3 KB
naive 16_diagonal_D10_a -> 0.002526 ms | 3 KB
naive 16_diagonal_D10_b -> 0.003142 ms | 3 KB
naive 16_diagonal_D10_c -> 0.002783 ms | 3 KB
naive 16_dispersa_D0_a -> 0.002508 ms | 3 KB
naive 16_dispersa_D0_b -> 0.00372 ms | 3 KB
naive 16_dispersa_D0_c -> 0.003417 ms | 3 KB
naive 16_dispersa_D10_a -> 0.002526 ms | 3 KB
naive 16_dispersa_D10_b -> 0.002701 ms | 3 KB
naive 16_dispersa_D10_c -> 0.003372 ms | 3 KB
naive 256_densa_D0_a -> 9.37376 ms | 768 KB
naive 256_densa_D0_b -> 9.24365 ms | 768 KB
naive 256_densa_D0_c -> 9.30213 ms | 768 KB
naive 256_densa_D10_a -> 9.40175 ms | 768 KB
naive 256_densa_D10_b -> 9.53908 ms | 768 KB
naive 256_densa_D10_c -> 9.69054 ms | 768 KB
naive 256_diagonal_D0_a -> 9.27545 ms | 768 KB
naive 256_diagonal_D0_b -> 9.54777 ms | 768 KB
naive 256_diagonal_D0_c -> 9.24568 ms | 768 KB
naive 256_diagonal_D10_a -> 9.30041 ms | 768 KB
naive 256_diagonal_D10_b -> 9.32498 ms | 768 KB
naive 256_diagonal_D10_c -> 9.22155 ms | 768 KB
naive 256_dispersa_D0_a -> 9.61664 ms | 768 KB
naive 256_dispersa_D0_b -> 9.49281 ms | 768 KB
naive 256_dispersa_D0_c -> 9.33749 ms | 768 KB
naive 256_dispersa_D10_a -> 9.3909 ms | 768 KB
naive 256_dispersa_D10_b -> 9.48939 ms | 768 KB
